measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
1,1,Dinic,0,100,0.1,511,100,10,124,7.037e-05
1,2,Dinic,1,100,0.1,508,100,10,236,8.5425e-05
1,3,Dinic,2,100,0.1,484,100,10,182,0.000158999
1,4,Dinic,3,100,0.1,487,100,10,187,7.9481e-05
1,5,Dinic,4,100,0.1,498,100,10,266,0.000199906
1,6,Dinic,5,100,0.1,474,100,10,203,5.0758e-05
1,7,Dinic,6,100,0.1,518,100,10,131,9.0499e-05
1,8,Dinic,7,100,0.1,495,100,10,289,0.000142221
1,9,Dinic,8,100,0.1,479,100,10,272,0.000159462
1,10,Dinic,9,100,0.1,541,100,10,379,0.000182387
1,11,Dinic,10,100,0.1,458,100,10,231,0.000105832
1,12,Dinic,11,100,0.1,517,100,10,319,0.000245331
1,13,Dinic,12,100,0.1,460,100,10,316,0.000125796
1,14,Dinic,13,100,0.1,495,100,10,128,6.0351e-05
1,15,Dinic,14,100,0.1,483,100,10,160,6.3296e-05
1,16,Dinic,15,100,0.1,482,100,10,121,0.000103388
1,17,Dinic,16,100,0.1,464,100,10,187,6.5148e-05
1,18,Dinic,17,100,0.1,447,100,10,188,7.7314e-05
1,19,Dinic,18,100,0.1,490,100,10,90,4.2926e-05
1,20,Dinic,19,100,0.1,477,100,10,219,8.8443e-05
1,21,Dinic,20,100,0.1,519,100,10,386,0.000120443
1,22,Dinic,21,100,0.1,511,100,10,253,0.000110536
1,23,Dinic,22,100,0.1,499,100,10,282,0.000104296
1,24,Dinic,23,100,0.1,510,100,10,329,9.7647e-05
1,25,Dinic,24,100,0.1,463,100,10,88,5.687e-05
1,26,Dinic,25,100,0.1,494,100,10,184,0.000102943
1,27,Dinic,26,100,0.1,492,100,10,550,0.000185517
1,28,Dinic,27,100,0.1,489,100,10,273,0.000109407
1,29,Dinic,28,100,0.1,481,100,10,231,9.5351e-05
1,30,Dinic,29,100,0.1,506,100,10,151,5.0796e-05
1,1,Dinic,30,100,0.2,992,100,10,593,0.000132813
1,2,Dinic,31,100,0.2,964,100,10,655,0.00035083
1,3,Dinic,32,100,0.2,984,100,10,702,0.000227591
1,4,Dinic,33,100,0.2,946,100,10,539,0.000231295
1,5,Dinic,34,100,0.2,992,100,10,403,0.000196498
1,6,Dinic,35,100,0.2,1037,100,10,606,0.000227609
1,7,Dinic,36,100,0.2,1018,100,10,598,0.00027622
1,8,Dinic,37,100,0.2,945,100,10,548,0.000317349
1,9,Dinic,38,100,0.2,994,100,10,735,0.000161202
1,10,Dinic,39,100,0.2,1005,100,10,622,0.000372274
1,11,Dinic,40,100,0.2,1008,100,10,650,0.000188943
1,12,Dinic,41,100,0.2,994,100,10,634,0.000355497
1,13,Dinic,42,100,0.2,976,100,10,553,0.00016161
1,14,Dinic,43,100,0.2,948,100,10,486,0.000207943
1,15,Dinic,44,100,0.2,1040,100,10,1159,0.000249554
1,16,Dinic,45,100,0.2,989,100,10,1117,0.000384201
1,17,Dinic,46,100,0.2,1033,100,10,1167,0.000283016
1,18,Dinic,47,100,0.2,961,100,10,398,0.000192721
1,19,Dinic,48,100,0.2,955,100,10,854,0.000229016
1,20,Dinic,49,100,0.2,1013,100,10,460,0.000229294
1,21,Dinic,50,100,0.2,990,100,10,552,0.000281572
1,22,Dinic,51,100,0.2,959,100,10,609,0.000246479
1,23,Dinic,52,100,0.2,1007,100,10,861,0.000246368
1,24,Dinic,53,100,0.2,971,100,10,886,0.000270535
1,25,Dinic,54,100,0.2,978,100,10,420,0.000123092
1,26,Dinic,55,100,0.2,983,100,10,559,0.000194054
1,27,Dinic,56,100,0.2,979,100,10,760,0.000241886
1,28,Dinic,57,100,0.2,981,100,10,598,0.00019011
1,29,Dinic,58,100,0.2,947,100,10,912,0.000250387
1,30,Dinic,59,100,0.2,898,100,10,633,0.000152666
1,1,Dinic,60,100,0.3,1490,100,10,1352,0.000389589
1,2,Dinic,61,100,0.3,1515,100,10,1103,0.000460607
1,3,Dinic,62,100,0.3,1481,100,10,1015,0.000273294
1,4,Dinic,63,100,0.3,1486,100,10,1109,0.000652402
1,5,Dinic,64,100,0.3,1441,100,10,1222,0.000268053
1,6,Dinic,65,100,0.3,1450,100,10,1306,0.000330293
1,7,Dinic,66,100,0.3,1474,100,10,1123,0.000276572
1,8,Dinic,67,100,0.3,1544,100,10,1130,0.000275979
1,9,Dinic,68,100,0.3,1420,100,10,962,0.000426422
1,10,Dinic,69,100,0.3,1480,100,10,937,0.000439126
1,11,Dinic,70,100,0.3,1467,100,10,1262,0.000420404
1,12,Dinic,71,100,0.3,1494,100,10,1137,0.000350515
1,13,Dinic,72,100,0.3,1479,100,10,1450,0.000512385
1,14,Dinic,73,100,0.3,1530,100,10,1280,0.000367422
1,15,Dinic,74,100,0.3,1442,100,10,1048,0.000532125
1,16,Dinic,75,100,0.3,1536,100,10,997,0.000421107
1,17,Dinic,76,100,0.3,1484,100,10,1145,0.000499496
1,18,Dinic,77,100,0.3,1521,100,10,1315,0.000576181
1,19,Dinic,78,100,0.3,1455,100,10,1415,0.000402367
1,20,Dinic,79,100,0.3,1452,100,10,1394,0.000290664
1,21,Dinic,80,100,0.3,1519,100,10,1174,0.000141684
1,22,Dinic,81,100,0.3,1433,100,10,1014,0.000390627
1,23,Dinic,82,100,0.3,1493,100,10,918,0.000447681
1,24,Dinic,83,100,0.3,1468,100,10,1513,0.000534292
1,25,Dinic,84,100,0.3,1445,100,10,847,0.000276812
1,26,Dinic,85,100,0.3,1483,100,10,1013,0.000860863
1,27,Dinic,86,100,0.3,1487,100,10,1097,0.000233017
1,28,Dinic,87,100,0.3,1487,100,10,1190,0.000352534
1,29,Dinic,88,100,0.3,1469,100,10,1145,0.000205887
1,30,Dinic,89,100,0.3,1504,100,10,1544,0.000362312
1,1,Dinic,90,100,0.4,2000,100,10,1607,0.000533199
1,2,Dinic,91,100,0.4,1938,100,10,1508,0.00053068
1,3,Dinic,92,100,0.4,1990,100,10,1330,0.000299238
1,4,Dinic,93,100,0.4,1997,100,10,1833,0.000220609
1,5,Dinic,94,100,0.4,1924,100,10,1301,0.000511903
1,6,Dinic,95,100,0.4,1996,100,10,1844,0.000895141
