measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
1,1,Dinic,20814,100,0.1,478,100,10,259,8.6444e-05
1,1,EK,20814,100,0.1,478,100,10,259,0.000130629
1,1,MPM,20814,100,0.1,478,100,10,259,0.000293443
1,2,Dinic,24386,100,0.1,491,100,10,341,0.000156296
1,2,EK,24386,100,0.1,491,100,10,341,0.000408683
1,2,MPM,24386,100,0.1,491,100,10,341,0.000723033
1,3,Dinic,149,100,0.1,463,100,10,353,9.1981e-05
1,3,EK,149,100,0.1,463,100,10,353,0.000114444
1,3,MPM,149,100,0.1,463,100,10,353,0.00034348
1,4,Dinic,25587,100,0.1,543,100,10,111,5.0537e-05
1,4,EK,25587,100,0.1,543,100,10,111,3.6167e-05
1,4,MPM,25587,100,0.1,543,100,10,111,0.000230739
1,5,Dinic,12277,100,0.1,465,100,10,235,0.000131295
1,5,EK,12277,100,0.1,465,100,10,235,0.000436442
1,5,MPM,12277,100,0.1,465,100,10,235,0.000428276
1,6,Dinic,14239,100,0.1,520,100,10,254,0.000104277
1,6,EK,14239,100,0.1,520,100,10,254,0.000232573
1,6,MPM,14239,100,0.1,520,100,10,254,0.00037235
1,7,Dinic,29607,100,0.1,488,100,10,262,8.6518e-05
1,7,EK,29607,100,0.1,488,100,10,262,0.000137111
1,7,MPM,29607,100,0.1,488,100,10,262,0.00034885
1,8,Dinic,30583,100,0.1,471,100,10,155,0.000102666
1,8,EK,30583,100,0.1,471,100,10,155,0.000119832
1,8,MPM,30583,100,0.1,471,100,10,155,0.000290388
1,9,Dinic,9589,100,0.1,482,100,10,223,9.0629e-05
1,9,EK,9589,100,0.1,482,100,10,223,0.000180814
1,9,MPM,9589,100,0.1,482,100,10,223,0.000339146
1,10,Dinic,12884,100,0.1,489,100,10,176,4.9833e-05
1,10,EK,12884,100,0.1,489,100,10,176,0.000225721
1,10,MPM,12884,100,0.1,489,100,10,176,0.000201814
1,11,Dinic,13422,100,0.1,486,100,10,236,7.4259e-05
1,11,EK,13422,100,0.1,486,100,10,236,0.000216962
1,11,MPM,13422,100,0.1,486,100,10,236,0.000328535
1,12,Dinic,30970,100,0.1,487,100,10,271,0.000131351
1,12,EK,30970,100,0.1,487,100,10,271,0.000221554
1,12,MPM,30970,100,0.1,487,100,10,271,0.000465294
1,13,Dinic,31486,100,0.1,510,100,10,451,0.0001175
1,13,EK,31486,100,0.1,510,100,10,451,0.000605719
1,13,MPM,31486,100,0.1,510,100,10,451,0.00063933
1,14,Dinic,9212,100,0.1,494,100,10,269,0.000138
1,14,EK,9212,100,0.1,494,100,10,269,0.000254166
1,14,MPM,9212,100,0.1,494,100,10,269,0.000492942
1,15,Dinic,12401,100,0.1,480,100,10,240,0.000111315
1,15,EK,12401,100,0.1,480,100,10,240,9.3833e-05
1,15,MPM,12401,100,0.1,480,100,10,240,0.00028422
1,16,Dinic,17205,100,0.1,488,100,10,288,0.000151388
1,16,EK,17205,100,0.1,488,100,10,288,0.000431294
1,16,MPM,17205,100,0.1,488,100,10,288,0.000789014
1,17,Dinic,6,100,0.1,518,100,10,131,9.4907e-05
1,17,EK,6,100,0.1,518,100,10,131,0.00015961
1,17,MPM,6,100,0.1,518,100,10,131,0.000423128
1,18,Dinic,335,100,0.1,486,100,10,155,5.6518e-05
1,18,EK,335,100,0.1,486,100,10,155,3.3167e-05
1,18,MPM,335,100,0.1,486,100,10,155,0.000227295
1,19,Dinic,31757,100,0.1,515,100,10,166,0.000118203
1,19,EK,31757,100,0.1,515,100,10,166,0.000417869
1,19,MPM,31757,100,0.1,515,100,10,166,0.000458145
1,20,Dinic,17146,100,0.1,495,100,10,76,8.287e-05
1,20,EK,17146,100,0.1,495,100,10,76,0.000127999
1,20,MPM,17146,100,0.1,495,100,10,76,0.000423702
1,21,Dinic,313,100,0.1,447,100,10,202,8.1592e-05
1,21,EK,313,100,0.1,447,100,10,202,0.000195554
1,21,MPM,313,100,0.1,447,100,10,202,0.000405813
1,22,Dinic,18861,100,0.1,488,100,10,173,0.000178129
1,22,EK,18861,100,0.1,488,100,10,173,0.000291721
1,22,MPM,18861,100,0.1,488,100,10,173,0.000805829
1,23,Dinic,27546,100,0.1,458,100,10,33,3.6629e-05
1,23,EK,27546,100,0.1,458,100,10,33,5.4296e-05
1,23,MPM,27546,100,0.1,458,100,10,33,9.5703e-05
1,24,Dinic,14112,100,0.1,500,100,10,149,8.5462e-05
1,24,EK,14112,100,0.1,500,100,10,149,0.000260628
1,24,MPM,14112,100,0.1,500,100,10,149,0.000567534
1,25,Dinic,2426,100,0.1,447,100,10,72,6.9184e-05
1,25,EK,2426,100,0.1,447,100,10,72,7.3963e-05
1,25,MPM,2426,100,0.1,447,100,10,72,0.000329498
1,26,Dinic,2950,100,0.1,466,100,10,184,0.000115907
1,26,EK,2950,100,0.1,466,100,10,184,0.000205814
1,26,MPM,2950,100,0.1,466,100,10,184,0.000475905
1,27,Dinic,9394,100,0.1,488,100,10,136,8.674e-05
1,27,EK,9394,100,0.1,488,100,10,136,0.000156407
1,27,MPM,9394,100,0.1,488,100,10,136,0.000418387
1,28,Dinic,1415,100,0.1,504,100,10,57,2.1796e-05
1,28,EK,1415,100,0.1,504,100,10,57,4.5926e-05
1,28,MPM,1415,100,0.1,504,100,10,57,9.0351e-05
1,29,Dinic,17595,100,0.1,511,100,10,93,6.5352e-05
1,29,EK,17595,100,0.1,511,100,10,93,5.7536e-05
1,29,MPM,17595,100,0.1,511,100,10,93,0.000243221
1,30,Dinic,6165,100,0.1,478,100,10,64,7.2e-05
1,30,EK,6165,100,0.1,478,100,10,64,5.4018e-05
1,30,MPM,6165,100,0.1,478,100,10,64,0.000247943
1,1,Dinic,21401,100,0.2,994,100,10,710,0.000399924
1,1,EK,21401,100,0.2,994,100,10,710,0.00160557
1,1,MPM,21401,100,0.2,994,100,10,710,0.000880792
1,2,Dinic,16340,100,0.2,977,100,10,333,0.000191611
1,2,EK,16340,100,0.2,977,100,10,333,0.000458497
1,2,MPM,16340,100,0.2,977,100,10,333,0.000411813
1,3,Dinic,7378,100,0.2,1010,100,10,698,0.000392461
1,3,EK,7378,100,0.2,1010,100,10,698,0.000948847
1,3,MPM,7378,100,0.2,1010,100,10,698,0.00102162
1,4,Dinic,28064,100,0.2,1010,100,10,726,0.000132721
1,4,EK,28064,100,0.2,1010,100,10,726,0.000563663
1,4,MPM,28064,100,0.2,1010,100,10,726,0.000449998
1,5,Dinic,23365,100,0.2,935,100,10,395,0.000194091
1,5,EK,23365,100,0.2,935,100,10,395,0.000595386
1,5,MPM,23365,100,0.2,935,100,10,395,0.000744089
1,6,Dinic,10145,100,0.2,986,100,10,683,0.000352535
