measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
1,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0321487
2,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0320538
3,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0320325
4,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0320961
5,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0319623
6,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0319681
7,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0319917
8,1,Dinic,20814,500,0.5,62429,100,10,11413,0.031959
9,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0319842
10,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0319427
11,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0317701
12,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0317767
13,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0318289
14,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0318414
15,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0318207
16,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0318305
17,1,Dinic,20814,500,0.5,62429,100,10,11413,0.031811
18,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0320216
19,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0319029
20,1,Dinic,20814,500,0.5,62429,100,10,11413,0.031793
21,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0316668
22,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0318961
23,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0317625
24,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0318233
25,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0317928
26,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0316737
27,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0318019
28,1,Dinic,20814,500,0.5,62429,100,10,11413,0.031921
29,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0317905
30,1,Dinic,20814,500,0.5,62429,100,10,11413,0.0318772
1,1,EK,20814,500,0.5,62429,100,10,11413,1.54969
2,1,EK,20814,500,0.5,62429,100,10,11413,1.50059
3,1,EK,20814,500,0.5,62429,100,10,11413,1.54922
4,1,EK,20814,500,0.5,62429,100,10,11413,1.49613
5,1,EK,20814,500,0.5,62429,100,10,11413,1.55379
6,1,EK,20814,500,0.5,62429,100,10,11413,1.55421
7,1,EK,20814,500,0.5,62429,100,10,11413,1.49813
8,1,EK,20814,500,0.5,62429,100,10,11413,1.48985
9,1,EK,20814,500,0.5,62429,100,10,11413,1.55683
10,1,EK,20814,500,0.5,62429,100,10,11413,1.55566
11,1,EK,20814,500,0.5,62429,100,10,11413,1.49406
12,1,EK,20814,500,0.5,62429,100,10,11413,1.55414
13,1,EK,20814,500,0.5,62429,100,10,11413,1.55499
14,1,EK,20814,500,0.5,62429,100,10,11413,1.54873
15,1,EK,20814,500,0.5,62429,100,10,11413,1.55495
16,1,EK,20814,500,0.5,62429,100,10,11413,1.55985
17,1,EK,20814,500,0.5,62429,100,10,11413,1.55249
18,1,EK,20814,500,0.5,62429,100,10,11413,1.49698
19,1,EK,20814,500,0.5,62429,100,10,11413,1.55366
20,1,EK,20814,500,0.5,62429,100,10,11413,1.55528
21,1,EK,20814,500,0.5,62429,100,10,11413,1.54775
22,1,EK,20814,500,0.5,62429,100,10,11413,1.50249
23,1,EK,20814,500,0.5,62429,100,10,11413,1.49312
24,1,EK,20814,500,0.5,62429,100,10,11413,1.49848
25,1,EK,20814,500,0.5,62429,100,10,11413,1.4997
26,1,EK,20814,500,0.5,62429,100,10,11413,1.54473
27,1,EK,20814,500,0.5,62429,100,10,11413,1.55299
28,1,EK,20814,500,0.5,62429,100,10,11413,1.55199
29,1,EK,20814,500,0.5,62429,100,10,11413,1.55321
30,1,EK,20814,500,0.5,62429,100,10,11413,1.49754
1,1,MPM,20814,500,0.5,62429,100,10,11413,0.09041
2,1,MPM,20814,500,0.5,62429,100,10,11413,0.0902766
3,1,MPM,20814,500,0.5,62429,100,10,11413,0.0911056
4,1,MPM,20814,500,0.5,62429,100,10,11413,0.0908087
5,1,MPM,20814,500,0.5,62429,100,10,11413,0.0905153
6,1,MPM,20814,500,0.5,62429,100,10,11413,0.0912267
7,1,MPM,20814,500,0.5,62429,100,10,11413,0.0912317
8,1,MPM,20814,500,0.5,62429,100,10,11413,0.0907327
9,1,MPM,20814,500,0.5,62429,100,10,11413,0.0910883
10,1,MPM,20814,500,0.5,62429,100,10,11413,0.0903195
11,1,MPM,20814,500,0.5,62429,100,10,11413,0.0910005
12,1,MPM,20814,500,0.5,62429,100,10,11413,0.0896529
13,1,MPM,20814,500,0.5,62429,100,10,11413,0.0902339
14,1,MPM,20814,500,0.5,62429,100,10,11413,0.0902303
15,1,MPM,20814,500,0.5,62429,100,10,11413,0.0902696
16,1,MPM,20814,500,0.5,62429,100,10,11413,0.0900579
17,1,MPM,20814,500,0.5,62429,100,10,11413,0.0903115
18,1,MPM,20814,500,0.5,62429,100,10,11413,0.0905404
19,1,MPM,20814,500,0.5,62429,100,10,11413,0.0911879
20,1,MPM,20814,500,0.5,62429,100,10,11413,0.091041
21,1,MPM,20814,500,0.5,62429,100,10,11413,0.0915712
22,1,MPM,20814,500,0.5,62429,100,10,11413,0.0907008
23,1,MPM,20814,500,0.5,62429,100,10,11413,0.0900806
24,1,MPM,20814,500,0.5,62429,100,10,11413,0.0905905
25,1,MPM,20814,500,0.5,62429,100,10,11413,0.0900685
26,1,MPM,20814,500,0.5,62429,100,10,11413,0.0913262
27,1,MPM,20814,500,0.5,62429,100,10,11413,0.0910993
28,1,MPM,20814,500,0.5,62429,100,10,11413,0.0907224
29,1,MPM,20814,500,0.5,62429,100,10,11413,0.0901135
30,1,MPM,20814,500,0.5,62429,100,10,11413,0.0904179
1,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0485959
2,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0486221
3,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489559
4,2,Dinic,24386,500,0.5,62572,100,10,12494,0.0489929
